Stage Name,Full Name,Korean Name,Korean Stage Name,Date of Birth,group_name,Country,Second Country,Gender
Moka,Sakai Moka,사카이 모카,모카,2004-10-08,ILLIT,Japan,,F
Hana,Hayase Hana,하야세 하나,하나,2000-02-27,ILY:1,Japan,,F
Ririka,Kishida Ririka,키시다 리리카,리리카,2002-07-02,ILY:1,Japan,,F
Rona,Chang Ching,장찡,로나,2002-06-05,ILY:1,Taiwan,,F
Isaac,Voo Isaak,부 아이젝,아이젝,1994-12-12,IN2IT,Malaysia,,M
Nina,Nina Nadia Mateer,니나 나디아 마티어,니나,2003-03-15,IRRIS,Australia,South Korea,F
Rei,Naoi Rei,나오이 레이,레이,2004-02-03,IVE,Japan,,F
Hitomi,Honda Hitomi,혼다 히토미,히토미,2001-10-06,IZ*ONE,Japan,,F
Nako,Yabuki Nako,야부키 나코,나코,2001-06-18,IZ*ONE,Japan,,F
Kenta,Takada Kenta,타카다 켄타,켄타,1995-01-10,JBJ,Japan,,M
Longguo,Jin Longguo,진룽궈,룽궈,1996-03-02,JBJ,China,,M
Raots,Ren Yuchen,런위천,라오츠,2000-03-01,JWiiver,China,,M
Shita,Chae Gaho,채가호,시타,1998-10-01,JWiiver,Macau,,M
Bahiyyih,Huening Bahiyyih,휴닝바히에,바히에,2004-07-27,Kep1er,USA,South Korea,F
Hikaru,Ezaki Hikaru,에자키 히카루,히카루,2004-03-12,Kep1er,Japan,,F
XiaoTing,Shen Xiao Ting,션샤오팅,샤오팅,1999-11-12,Kep1er,China,,F
Natty,Ahnatchaya Suputhipong,아낫차야 수푸티퐁,나띠,2002-05-30,KISS OF LIFE,Thailand,,F
Chanty,Maria Chantal Videla,마리아 샹탈 비델라,샨티,2002-12-15,Lapillus,Philippines,Argentina,F
Shana,Nonaka Shana,노나카 샤나,샤나,2003-03-13,Lapillus,Japan,,F
Yue,Nancy Yang,낸시 양,유에,2004-07-03,Lapillus,USA,China,F
Kazuha,Nakamura Kazuha,나카무라 카즈하,카즈하,2003-08-09,LE SSERAFIM,Japan,,F
Sakura,Miyawaki Sakura,미야와키 사쿠라,사쿠라,1998-03-19,LE SSERAFIM,Japan,,F
Hina,Nagai Hina,나가이 히나,히나,2003-04-07,LIGHTSUM,Japan,,F
Vivi,Wong Viian,황가희,비비,1996-12-09,Loossemble,Hong Kong,,F
Yuuri,Tokunaga Yuuri,도쿠나가 유우리,유우리,2001-05-16,LUNARSOLAR,Japan,,F
Mashiro,Sakamoto Mashiro,사카모토 마시로,마시로,1999-12-16,Madein,Japan,,F
MiU,Ito Miyu,이토 미유,미유,2003-01-09,Madein,Japan,,F
Nagomi,Abe Nagomi,아베 나고미,나고미,2007-07-02,Madein,Japan,,F
Serina,Saito Serina,사이토 세리나,세리나,2006-05-03,Madein,Japan,,F
Lien,Shimada Sho,시마다 쇼,리안,1998-03-11,Mirae,Japan,,M
Fei,Wang FeiFei,왕페이페이,페이,1987-04-27,miss A,China,,F
Jia,Meng Jia,멍지아,지아,1989-02-03,miss A,China,,F
Aurora,Yang Lan,양안,오로라,1997-01-14,NATURE,China,,F
Haru,Abe Haruno,아베 하루노,하루,2000-02-21,NATURE,Japan,,F
Chenle,Zhong Chenle,중천러,천러,2001-11-22,NCT,China,,M
Johnny,John Seo,존 서,쟈니,1995-02-09,NCT,USA,,M
Kun,Qian Kun,첸쿤,쿤,1996-01-01,NCT,China,,M
Mark,Mark Lee,마크 리,마크,1999-08-02,NCT,Canada,,M
Renjun,Hwang Renjun,황런쥔,런쥔,2000-03-23,NCT,China,,M
Ten,Chittaphon Leechaiyapornkul,칫따폰 리차이야뽄꾼,텐,1996-02-27,NCT,Thailand,,M
Winwin,Dong Sicheng,뚱쓰청,윈윈,1997-10-28,NCT,China,,M
Yuta,Nakamoto Yuta,나카모토 유타,유타,1995-10-26,NCT,Japan,,M
Hanni,Pham Ngoc Han,팜응옥헌,하니,2004-10-06,NewJeans,Vietnam,,F
Winnie,Pattipong Kasemsant,파티퐁 카셈산트,위니,1998-11-18,NINE.i,Thailand,,M
Lily,Lily Jin Morrow,릴리 진 머로우,릴리,2002-10-17,NMIXX,Australia,South Korea,F
Jay Chang,Jay Steven Kapossy,제이 스티븐 커포시,제이창,2001-03-08,ONE PACT,USA,,M
U,Mizuguchi Yuto,미즈구치 유토,유,1999-03-16,ONF,Japan,,M
Keeho,Yoon Kiho,윤기호,기호,2001-09-27,P1Harmony,Canada,,M
Soul,Haku Shota,하쿠 쇼타,소울,2005-02-01,P1Harmony,Japan,,M
Yan An,Yan An,옌안,옌안,1996-10-25,PENTAGON,China,,M
Yuto,Adachi Yuto,아다치 유토,유토,1998-01-23,PENTAGON,Japan,,M
Miku,Katae Miku,카타에 미쿠,미쿠,2002-10-09,Pink Fantasy,Japan,,F
Momoka,Matsuda Momoka,마쓰다 모모카,모모카,2000-12-26,Pink Fantasy,Japan,,F
Dongyeon,Justin Lajo,저스틴 라조,동연,2003-09-26,POW,Philippines,South Korea,M
Yorch,Yongsin Wongpanitnont,용신 웡파닛논,요치,2002-04-11,POW,Thailand,,M
Rainie,Chu Chingyu,주칭위,레이니,2000-11-16,PRIMROSE,Taiwan,,F
Kyla,Kyla Massie,카일라 매시,카일라,2001-12-26,Pristin,USA,South Korea,F
Kyulkyung,Zhou Jieqiong,저우제충,결경,1998-12-16,Pristin,China,,F
Sungyeon,Bae Sungyeon,배성연,성연,1999-05-25,Pristin,USA,South Korea,F
Yuki,Mori Koyuki,모리 코유키,유키,2002-11-06,Purple Kiss,Japan,,F
Minami,Ito Minami,이토 미나미,미나미,2006-11-29,RESCENE,Japan,,F
Anton,Anton Chanyoung Lee,앤톤 찬영 리,앤톤,2004-03-21,RIIZE,USA,South Korea,M
Shotaro,Osaki Shotaro,오사키 쇼타로,쇼타로,2000-11-25,RIIZE,Japan,,M
Juri,Takahashi Juri,타카하시 쥬리,쥬리,1997-10-03,Rocket Punch,Japan,,F
Dita,Dita Karang,디타 가랑,디타,1996-12-25,SECRET NUMBER,Indonesia,,F
Lea,Ogawa Mizuki,오가와 미즈키,레아,1995-08-12,SECRET NUMBER,Japan,,F
Joshua,Hong Jisoo,홍지수,조슈아,1995-12-30,Seventeen,USA,South Korea,M
Jun,Weng Junhui,원쥔훼이,준,1996-06-10,Seventeen,China,,M
The8,Xu Minghao,쉬밍하오,디에잇,1997-11-07,Seventeen,China,,M
Vernon,Choi Hansol,최한솔,버논,1998-02-18,Seventeen,USA,South Korea,M
Bang Chan,Bang Chan,방찬,방찬,1997-10-03,Stray Kids,Australia,South Korea,M
Henry,Henry Lau,헨리 라우,헨리,1989-10-11,Super Junior-M,Canada,"Hong Kong, Taiwan",M
Zhou Mi,Zhou Mi,조미,조미,1986-04-19,Super Junior-M,China,,M
Kairi,Imai Kairi,이마이 카이리,카이리,2003-02-24,T1419,Japan,,M
Leo,Hayase Leo,하야세 레오,레오,2002-10-08,T1419,Japan,,M
Zero,Nasukawa Shota,나스카와 쇼타,제로,2003-01-20,T1419,Japan,,M
Hanbin,Ngo Ngoc Hung,응오 응옥 흥,한빈,1998-01-19,TEMPEST,Vietnam,,M
Kevin,Moon Hyungseo,문형서,케빈,1998-02-23,The Boyz,Canada,South Korea,M
Mint,Kunpat Phonpawiworakun,쿤팟 퍼언빠위워라쿤,민트,1994-06-23,Tiny-G,Thailand,,F
Asahi,Hanada Asahi,하나다 아사히,아사히,2001-08-20,Treasure,Japan,,M
Haruto,Watanabe Haruto,와타나베 하루토,하루토,2004-04-05,Treasure,Japan,,M
Mashiho,Takata Mashiho,타카타 마시호,마시호,2001-03-25,Treasure,Japan,,M
Yoshi,Kanemoto Yoshinori,카네모토 요시노리,요시,2000-05-15,Treasure,Japan,,M
Jia,Guo Jiajia,궈 지아지아,지아,2005-07-30,TRI.BE,China,,F
Kelly,Lin Kelly,린 켈리,켈리,2002-01-16,TRI.BE,Taiwan,,F
Mire,Su Mire,수미레,미레,2006-03-26,TRI.BE,Japan,,F
Kaede,Yamada Kaede,야마다 카에데,카에데,2005-12-20,tripleS,Japan,,F
Kotone,Kamimoto Kotone,카미모토 코토네,코토네,2004-03-10,tripleS,Japan,,F
Lynn,Kawakami Rin,카와카미 린,린,2006-04-12,tripleS,Japan,,F
Mayu,Kouma Mayu,코우마 마유,마유,2001-05-12,tripleS,Japan,,F
Nien,Hsu Nien Tsu,쉬니엔츠,니엔,2003-06-02,tripleS,Taiwan,Vietnam,F
Xinyu,Zhou Xinyu,저우신위,신위,2001-05-25,tripleS,China,,F
Mina,Myoui Mina,묘이 미나,미나,1997-03-24,Twice,Japan,,F
Momo,Hirai Momo,히라이 모모,모모,1996-11-09,Twice,Japan,,F
Sana,Minatozaki Sana,미나토자키 사나,사나,1996-12-29,Twice,Japan,,F
Tzuyu,Chou Tzuyu,저우쯔위,쯔위,1999-06-14,Twice,Taiwan,,F
Hanjin,Han Zhen,한쩐,한진,2006-01-05,TWS,China,,M
Hueningkai,Kai Kamal Huening,카이 카말 휴닝,휴닝카이,2002-08-14,TXT,USA,South Korea,M
Eli,Ellison Kim,엘리슨 킴,일라이,1991-03-13,U-KISS,USA,South Korea,M
Kevin,Christopher Woo,크리스토퍼 우,케빈,1991-11-25,U-KISS,USA,South Korea,M
Wenhan,Li Wenhan,리원한,원한,1994-07-22,UNIQ,China,,M
Yibo,Wang Yibo,왕이보,이보,1997-08-05,UNIQ,China,,M
Yixuan,Zhou Yixuan,조이쉔,이쉔,1990-12-11,UNIQ,China,,M
Elisia,Elisia Lyrisse Parmisano,엘리시아 리리스 파르미사노,엘리시아,2009-04-18,UNIS,Philippines,,F
Gehlee,Gehlee Dangca,젤리 당카,젤리,2007-08-19,UNIS,Philippines,,F
Kotoko,Fujiyosi Kotoko,후지요시 코토코,코토코,2007-10-28,UNIS,Japan,,F
Nana,Ezumi Nana,에즈미 나나,나나,2007-06-06,UNIS,Japan,,F
Anthony,Anthony Lo,엔써니 루오,엔써니,1998-03-12,VARSITY,China,USA,M
Damon,Hu Boohan,후보한,데이먼,1996-07-02,VARSITY,China,,M
Jaebin,Deung Bin,등빈,재빈,1997-02-13,VARSITY,China,,M
Manny,Syo Dongchun,쇼동청,만니,2001-11-17,VARSITY,China,,M
Xin,Wang Xinwi,왕씬위,씬,1996-11-10,VARSITY,China,,M
Jacob,Zhang Peng,장펑,제이콥,1996-09-07,VAV,China,,M
Lai Kuanlin,Lai Kuanlin,라이관린,라이관린,2001-09-23,Wanna One,Taiwan,,M
Sora,Sakata Sora,사카타 소라,소라,2003-08-30,woo!ah!,Japan,,F
Aria,Baby Gauthami,베이비 고타미,아리아,2003-03-12,X:IN,India,,F
E.sha,Kwon Yena,권예나,이샤,1998-12-29,X:IN,Australia,South Korea,F
Nova,Maria Pavlovna Emelyanova,마리아 파블로브나 에멜야노바,노바,2002-10-10,X:IN,Russia,,F
Hunter,Papungkorn Lertkiatdamrong,빠팡콘 륵키앗둠롱,헌터,2005-10-05,xikers,Thailand,,M
Leo,,,리오,2002-06-15,XODIAC,Hong Kong,,M
Sing,Mak Chun Sing,막준씽,씽,2002-01-11,XODIAC,Hong Kong,,M
Zayyan,Muhammad Rifki Fahri Zayyan,무하마드 리프키 파흐리 자얀,자얀,2000-02-23,XODIAC,Indonesia,,M
Matthew,Seok Matthew,석매튜,매튜,2002-05-28,ZEROBASEONE,Canada,South Korea,M
Ricky,Shen Quanrui,션취안루이,리키,2004-05-20,ZEROBASEONE,China,,M
Zhang Hao,Zhang Hao,장하오,장하오,2000-07-25,ZEROBASEONE,China,,M
